Trace,Prefetcher,IPC,IPCI,L2C_Coverage,L2C_Accuracy,L2C_Overprediction,L2C_Timeliness,DRAM_Traffic,L1D_average_miss_latency,L2C_average_miss_latency,LLC_average_miss_latency,L1-MPKI,L2-MPKI,MPKI
Radii-25000M,baseline,0.2413,1.014291719209752,0.035386255653557484,0.27896170429944234,0,0.8498243799855328,1.043415584454821,141.5,153,105,58.48769,45.232605,43.9837
Radii-25000M,triangel,0.2527,1.062211013030685,0.0765650852326738,0.1662367196009369,0,0.9938307641760731,1.0343375567129545,139.2,154.8,105.2,56.80767,43.30165,42.6332
Radii-25000M,prophet,0.2543,1.0689365279529215,0.09345882186350382,0.5769968469512133,0,0.7703852620295087,1.0338583375698964,137.6,154.7,105.2,56.77751,42.50947,40.767765
Radii-25000M,kairos,0.2371,0.9966372425388819,0.0022463351107178666,0.30164323078094246,0,0.7732992032303422,1.0079902815851915,143.8,153.2,104.7,59.02511,46.7866,46.077725
Radii-25000M,ptp,0.2413,1.014291719209752,0.03551356965755412,0.06795735823715181,0,0.8502775716636184,1.04327973978027,141.5,153,105,58.48949,45.226635,43.972625
Triangle-25000M,baseline,0.4616,1.000650336006937,0.0022632229244879533,0.004606743838674003,0,0.9959595959595959,0.9982581495963962,68.59,110.6,98.69,52.972865,18.47593,15.65617
Triangle-25000M,triangel,0.4597,0.9965315412963365,5.40019786324971e-07,0,0,0,1.0137427683930809,69.44,112,98.89,52.964285,18.51783,15.912495
Triangle-25000M,prophet,0.4687,1.016041621504444,0.13361979582931918,0.052062140277305706,0,0.9951306811228123,1.2384203781071472,63.9,117.2,100.2,52.99065,16.04349,14.434525
Triangle-25000M,kairos,0.4597,0.9965315412963365,5.40019786324971e-07,0,0,0,1.0137544164077081,69.44,112,98.89,52.96422,18.51783,15.91268
Triangle-25000M,ptp,0.4616,1.000650336006937,0.0022632229244879533,0.004606743838674003,0,0.9959595959595959,0.9982581495963962,68.59,110.6,98.69,52.972865,18.47593,15.65617
Average,baseline,0.6415,1.0063,0.0088,0.1459,0.0000,0.5937,1.0027,106.2847,131.4882,87.7824,54.7083,21.3633,19.9937
Average,triangel,0.6438,1.0099,0.0110,0.0330,0.0000,0.2052,1.0167,106.7865,133.1412,88.2035,54.5130,21.2509,20.1064
Average,prophet,0.6419,1.0070,0.0291,0.1132,0.0000,0.5516,1.1016,106.4882,134.3647,88.5982,54.5914,20.8266,19.9392
Average,kairos,0.6357,0.9972,0.0007,0.1345,0.0000,0.4221,1.0091,107.3300,132.5000,87.9753,54.7549,21.5670,20.5011
Average,ptp,0.6415,1.0063,0.0089,0.1132,0.0000,0.5942,1.0030,106.2965,131.5294,87.7994,54.7079,21.3613,20.0030
