group_name,set,trace,trace_energy
prism,google,charlie-0,0.0
prism,google,merced-1,0.0
prism,google,tahoe-2,0.0
prism,google,tango-3,0.0
prism,google,yankee-4,0.0
prism,google,charlie-1,0.0
prism,google,merced-2,0.0
prism,google,tahoe-3,0.0
prism,google,tango-4,0.0
prism,google,charlie-2,0.0
prism,google,merced-3,0.0
prism,google,tahoe-4,0.0
prism,google,yankee-0,0.0
prism,google,sierra3-0,0.0
prism,google,sierra3-1,0.0
prism,google,sierra3-2,0.0
prism,google,sierra3-3,0.0
prism,google,sierra3-4,0.0
prism,google,sierra4-0,0.0
prism,google,sierra4-1,0.0
prism,google,sierra4-2,0.0
prism,google,sierra4-3,0.0
prism,google,sierra4-4,0.0
prism,google,sierra6-0,0.0
prism,google,sierra6-1,0.0
prism,google,sierra6-2,0.0
prism,google,sierra6-3,0.0
prism,google,sierra6-4,0.0
prism,gap,bc-0,0.0
prism,gap,cc-14,0.0
prism,gap,sssp-14,0.0
prism,gap,bc-12,0.0
prism,gap,cc-5,0.0
prism,gap,sssp-10,0.0
prism,gap,bfs-14,0.0
prism,gap,bfs-10,0.0
prism,gap,cc-13,0.0
baseline,ligra,Radii-24500M,0.0
baseline,ligra,CF-184750M,0.0
baseline,ligra,PageRankDelta-24000M,0.0
baseline,ligra,Triangle-25000M,0.0
baseline,ligra,PageRank-51000M,0.0
baseline,ligra,BFSCC-17000M,0.0
baseline,ligra,Components-Shortcut-22000M,0.0
baseline,ligra,PageRankDelta-17000M,0.0
baseline,ligra,Radii-25000M,0.0
baseline,ligra,Components-Shortcut-17000M,0.0
baseline,spec17,607.cactuBSSN_s-2421B,0.0
baseline,spec17,605.mcf_s-1554B,0.0
baseline,spec17,649.fotonik3d_s-7084B,0.0
baseline,spec17,605.mcf_s-1644B,0.0
baseline,spec17,605.mcf_s-472B,0.0
baseline,spec17,621.wrf_s-6673B,0.0
baseline,spec17,654.roms_s-523B,0.0
baseline,spec17,605.mcf_s-484B,0.0
baseline,spec17,623.xalancbmk_s-10B,0.0
baseline,spec17,620.omnetpp_s-874B,0.0
baseline,spec17,603.bwaves_s-891B,0.0
baseline,ml,llama2.c_110M-3,0.0
baseline,ml,llama2.c_15M-1,0.0
baseline,ml,llama2.c_15M-2,0.0
baseline,ml,bark.cpp-5,0.0
baseline,ml,llama2.c_15M-3,0.0
baseline,ml,stable_diffusion.cpp_v2_1-1,0.0
baseline,ml,biogpt.cpp-1,0.0
baseline,ml,llama2.c_42M-1,0.0
baseline,ml,biogpt.cpp-2,0.0
baseline,ml,llama2.c_42M-2,0.0
baseline,ml,biogpt.cpp-3,0.0
baseline,ml,llama2.c_42M-3,0.0
baseline,ml,rwkv-1,0.0
baseline,ml,llama2.c_110M-1,0.0
baseline,ml,llama2.c_110M-2,0.0
baseline,google,arizona-0,0.0
baseline,google,charlie-3,0.0
baseline,google,merced-4,0.0
baseline,google,tango-0,0.0
baseline,google,yankee-1,0.0
baseline,google,arizona-1,0.0
baseline,google,charlie-4,0.0
baseline,google,tahoe-0,0.0
baseline,google,tango-1,0.0
baseline,google,yankee-2,0.0
baseline,google,merced-0,0.0
baseline,google,tahoe-1,0.0
baseline,google,tango-2,0.0
baseline,google,yankee-3,0.0
baseline,google,charlie-0,0.0
baseline,google,merced-1,0.0
baseline,google,tahoe-2,0.0
baseline,google,tango-3,0.0
baseline,google,yankee-4,0.0
baseline,google,charlie-1,0.0
baseline,google,merced-2,0.0
baseline,google,tahoe-3,0.0
baseline,google,tango-4,0.0
baseline,google,charlie-2,0.0
baseline,google,merced-3,0.0
baseline,google,tahoe-4,0.0
baseline,google,yankee-0,0.0
baseline,google,sierra3-0,0.0
baseline,google,sierra3-1,0.0
baseline,google,sierra3-2,0.0
baseline,google,sierra3-3,0.0
baseline,google,sierra3-4,0.0
baseline,google,sierra4-0,0.0
baseline,google,sierra4-1,0.0
baseline,google,sierra4-2,0.0
baseline,google,sierra4-3,0.0
baseline,google,sierra4-4,0.0
baseline,google,sierra6-0,0.0
baseline,google,sierra6-1,0.0
baseline,google,sierra6-2,0.0
baseline,google,sierra6-3,0.0
baseline,google,sierra6-4,0.0
baseline,gap,bc-0,0.0
baseline,gap,cc-14,0.0
baseline,gap,sssp-14,0.0
baseline,gap,bc-12,0.0
baseline,gap,cc-5,0.0
baseline,gap,sssp-10,0.0
baseline,gap,bfs-14,0.0
baseline,gap,bfs-10,0.0
baseline,gap,cc-13,0.0
