group_name,set,trace,trace_energy
prism,ml,llama2.c_15M-3,2595575.4913040847
prism,ml,stable_diffusion.cpp_v2_1-1,1431239.048061874
prism,ml,biogpt.cpp-1,7669040.859967819
prism,ml,llama2.c_42M-1,3153478.969855075
prism,ml,biogpt.cpp-2,4553191.5503500495
prism,ml,llama2.c_42M-2,3151799.179599955
prism,ml,biogpt.cpp-3,5429840.263272303
prism,ml,llama2.c_42M-3,3098257.779308592
prism,ml,rwkv-1,14041175.697832882
prism,ml,llama2.c_110M-1,3293540.8415902546
prism,ml,llama2.c_110M-2,3354112.5913218064
prism,google,arizona-0,343282.37419843796
prism,google,charlie-3,920643.922746616
prism,google,merced-4,1104555.140966824
prism,google,tango-0,1225010.096001492
prism,google,yankee-1,1057277.105058843
prism,google,arizona-1,234499.19186132803
prism,google,charlie-4,689840.850316901
prism,google,tahoe-0,708938.128306227
prism,google,tango-1,926431.075204005
prism,google,yankee-2,867732.73331674
prism,google,merced-0,849723.9275766541
prism,google,tahoe-1,1412554.909582036
prism,google,tango-2,1050997.733930236
prism,google,yankee-3,1100220.1886383789
prism,google,charlie-0,424281.26276818605
prism,google,merced-1,1226731.945421952
prism,google,tahoe-2,1048735.510646503
prism,google,tango-3,1229108.945660212
prism,google,yankee-4,1079987.898130634
prism,google,charlie-1,513003.326063239
prism,google,merced-2,1084054.7022393048
prism,google,tahoe-3,1206254.171380512
prism,google,tango-4,1115177.6998300822
prism,google,charlie-2,942530.007077724
prism,google,merced-3,1528707.175319269
prism,google,tahoe-4,1084046.463274865
prism,google,yankee-0,1121577.041840883
prism,google,sierra3-0,2320668.047020061
prism,google,sierra3-1,1904060.386708315
prism,google,sierra3-2,1979407.5056719491
prism,google,sierra3-3,2221333.516723184
prism,google,sierra3-4,1960827.479790952
prism,google,sierra4-0,1716457.622347606
prism,google,sierra4-1,2150057.706741498
prism,google,sierra4-2,1995663.4017494512
prism,google,sierra4-3,1678504.8418287109
prism,google,sierra4-4,1532183.506626423
prism,google,sierra6-0,2241148.927227064
prism,google,sierra6-1,2217284.955082252
prism,google,sierra6-2,2193510.444494391
prism,google,sierra6-3,2297950.864166348
prism,google,sierra6-4,2311279.8713400997
prism,gap,bc-0,1598288.518566657
prism,gap,cc-14,1100086.666264496
prism,gap,sssp-14,950098.6617074689
prism,gap,bc-12,1612536.3796062004
prism,gap,cc-5,1033946.586786368
prism,gap,sssp-10,945239.908041638
prism,gap,bfs-14,1428781.774202564
prism,gap,bfs-10,1377471.021034083
prism,gap,cc-13,1157769.51807047
baseline,ligra,Radii-24500M,2908482.816110205
baseline,ligra,CF-184750M,626829.5353257275
baseline,ligra,PageRankDelta-24000M,1315238.0681840852
baseline,ligra,Triangle-25000M,1867611.71494416
baseline,ligra,PageRank-51000M,4165805.50392725
baseline,ligra,BFSCC-17000M,659771.1892180801
baseline,ligra,Components-Shortcut-22000M,3759014.1675392753
baseline,ligra,PageRankDelta-17000M,664677.5402814226
baseline,ligra,Radii-25000M,2076252.5275484053
baseline,ligra,Components-Shortcut-17000M,659893.3837253276
baseline,spec17,607.cactuBSSN_s-2421B,2780707.3559931177
baseline,spec17,605.mcf_s-1554B,3773465.1183005054
baseline,spec17,649.fotonik3d_s-7084B,765750.5546885077
baseline,spec17,605.mcf_s-1644B,1594504.49817464
baseline,spec17,605.mcf_s-472B,1410846.24340262
baseline,spec17,621.wrf_s-6673B,487885.78447689005
baseline,spec17,654.roms_s-523B,796466.4843926524
baseline,spec17,605.mcf_s-484B,912084.9105346601
baseline,spec17,623.xalancbmk_s-10B,865799.6412973051
baseline,spec17,620.omnetpp_s-874B,913752.67752429
baseline,spec17,603.bwaves_s-891B,1125286.3306107852
baseline,ml,llama2.c_110M-3,1926054.9022528552
baseline,ml,llama2.c_15M-1,1831917.4475517648
baseline,ml,llama2.c_15M-2,1810068.722953375
baseline,ml,bark.cpp-5,1500323.4068014626
baseline,ml,llama2.c_15M-3,1804524.7374115451
baseline,ml,stable_diffusion.cpp_v2_1-1,3979273.0696761804
baseline,ml,biogpt.cpp-1,4568563.041719801
baseline,ml,llama2.c_42M-1,1876519.8060515674
baseline,ml,biogpt.cpp-2,2716208.3766381475
baseline,ml,llama2.c_42M-2,1889122.2678963053
baseline,ml,biogpt.cpp-3,3266968.7654100726
baseline,ml,llama2.c_42M-3,1882336.7486667552
baseline,ml,rwkv-1,7680790.853137896
baseline,ml,llama2.c_110M-1,1870003.2930240326
baseline,ml,llama2.c_110M-2,1899440.85452839
baseline,google,arizona-0,206584.72835032252
baseline,google,charlie-3,889058.0599615651
baseline,google,merced-4,809222.15820532
baseline,google,tango-0,854167.8647901926
baseline,google,yankee-1,764131.922434855
baseline,google,arizona-1,209943.14275285252
baseline,google,charlie-4,508389.302717645
baseline,google,tahoe-0,656558.2502276126
baseline,google,tango-1,672601.11223851
baseline,google,yankee-2,628100.6370743825
baseline,google,merced-0,653333.9526377175
baseline,google,tahoe-1,830570.5592023776
baseline,google,tango-2,838989.95454145
baseline,google,yankee-3,785135.5395014025
baseline,google,charlie-0,236792.4590624675
baseline,google,merced-1,924703.2979551327
baseline,google,tahoe-2,528323.540403265
baseline,google,tango-3,867931.664649925
baseline,google,yankee-4,782196.3809676876
baseline,google,charlie-1,365977.29057064006
baseline,google,merced-2,803989.9403458226
baseline,google,tahoe-3,861010.583235635
baseline,google,tango-4,789100.2083358224
baseline,google,charlie-2,527512.0457573025
baseline,google,merced-3,878517.6454489876
baseline,google,tahoe-4,626936.5952565949
baseline,google,yankee-0,812148.8998522524
baseline,google,sierra3-0,1618523.1996919026
baseline,google,sierra3-1,1352788.5658507277
baseline,google,sierra3-2,1420614.153058345
baseline,google,sierra3-3,1445889.6728210077
baseline,google,sierra3-4,1464579.1079941925
baseline,google,sierra4-0,1346877.3103948478
baseline,google,sierra4-1,1616322.4263764576
baseline,google,sierra4-2,1478838.2606235452
baseline,google,sierra4-3,1234464.6634314926
baseline,google,sierra4-4,1222714.5157668677
baseline,google,sierra6-0,1551949.8647771375
baseline,google,sierra6-1,1617770.89102028
baseline,google,sierra6-2,1525992.7975235977
baseline,google,sierra6-3,1616564.25213311
baseline,google,sierra6-4,1595111.550372795
baseline,gap,bc-0,4448296.540969235
baseline,gap,cc-14,3693333.9163979106
baseline,gap,sssp-14,2590718.0179537577
baseline,gap,bc-12,4357838.836793037
baseline,gap,cc-5,3610865.5550425504
baseline,gap,sssp-10,2598676.9883899298
baseline,gap,bfs-14,1003032.5226411452
baseline,gap,bfs-10,1188915.6026063524
baseline,gap,cc-13,3805607.766092445
