Trace,Prefetcher,IPC,IPCI,L2C_Coverage,L2C_Accuracy,L2C_Overprediction,L2C_Timeliness,L2C_UsefulPF,LLC_DemandHit,DRAM_Traffic,L1D_average_miss_latency,L2C_average_miss_latency,LLC_average_miss_latency,L1-MPKI,L2-MPKI,MPKI,PCM_useful_prefetches,PCM_late_prefetches,PCM_coverage,PCM_accuracy,PCM_laterate,MT_hitrate,CT_hitrate,CT_accuracy,CT_accuratepf
429.mcf-184B,latetpl2d1,0.189,1.110458284371328,0.30304248318267446,0.717643254430216,0,0.9780205836232224,0.22797859802150852 ,0.17751994458316134,1.1071333154106344,58.98,112.8,93.79,159.23744,47.34584,38.402525,0,0,0,0,0,0.722141,0,0,0,5798250
429.mcf-184B,latetpl2d2,0.1899,1.1157461809635725,0.3223836863754178,0.6278464636317043,0,0.9954369440083726,0.12086176451743608 ,0.17849085411267843,1.1311145273691663,58.29,113.5,94.61,159.206015,46.03195,37.58412,0,0,0,0,0,0.833734,0,0,0,6848410
429.mcf-184B,latetpl2d3,0.1899,1.1157461809635725,0.3255854828731746,0.5707257850223735,0,0.996582141014725,0.08168321947185517 ,0.18010198997450028,1.1556230400821723,58.21,113.5,95.04,159.20344,45.814445,37.35512,0,0,0,0,0,0.879843,0,0,0,7560517
429.mcf-184B,latetpl2d4,0.1896,1.1139835487661576,0.3269751042124001,0.5308385604315627,0,0.996609334178457,0.06201489528013869 ,0.18007839826196717,1.1773295229833534,58.28,113.8,95.4,159.200695,45.720045,37.28578,0,0,0,0,0,0.90505,0,0,0,8149359
429.mcf-184B,latetpl2d5,0.1893,1.1122209165687427,0.3265207539726205,0.4993681879514944,0,0.9965730270676737,0.05010426864399455 ,0.1811515354280898,1.1975894643511877,58.36,113.7,95.63,159.207995,45.75091,37.257245,0,0,0,0,0,0.921095,0,0,0,8657638
429.mcf-184B,latetpl3d1,0.1903,1.1180963572267921,0.31750654237112236,0.7482586132721785,0,0.9882484899889961,0.23691772108882003 ,0.18333176456359934,1.0941277477862459,57.99,112.4,93.41,159.198995,46.363265,37.50317,0,0,0,0,0,0.72248,0,0,0,5722738
429.mcf-184B,latetpl3d2,0.1911,1.1227967097532314,0.33310732359150874,0.6604852491018907,0,0.9986244544170297,0.12379156078508617 ,0.1833920659393669,1.1156151316158427,57.47,113,94.09,159.183185,45.30347,36.818115,0,0,0,0,0,0.833594,0,0,0,6647019
429.mcf-184B,latetpl3d3,0.1911,1.1227967097532314,0.33590665984123136,0.6049728756360591,0,0.9988017926544779,0.08359555397093686 ,0.18478816920552293,1.1355186625384546,57.42,113.1,94.6,159.1878,45.113305,36.605085,0,0,0,0,0,0.879318,0,0,0,7277037
429.mcf-184B,latetpl3d4,0.1907,1.1204465334900118,0.335744954434331,0.5633045113191503,0,0.9988150642465886,0.06326397771892246 ,0.1853201178011756,1.1560873629159112,57.53,113.2,94.94,159.19243,45.12429,36.59572,0,0,0,0,0,0.904326,0,0,0,7802485
429.mcf-184B,latetpl3d5,0.1905,1.119271445358402,0.33575260912814875,0.5307219583347249,0,0.9987628033159416,0.0511661809548132 ,0.1867509288076601,1.175670361301684,57.59,113.2,95.2,159.195745,45.12377,36.53296,0,0,0,0,0,0.920706,0,0,0,8294149
429.mcf-192B,latetpl2d1,0.1529,0.9763729246487869,0.06395227334175277,0.4245475801390787,0,0.9976946207191508,0.029102739226823337 ,0.09584761352134401,1.1013388231543846,66.62,118.2,102.8,184.76452,68.618495,62.031045,0,0,0,0,0,0.634231,0,0,0,1255692
429.mcf-192B,latetpl2d2,0.1543,0.9853128991060026,0.07886606966737793,0.4071625604489084,0,0.9989740445052419,0.013910775536026787 ,0.09074254621941737,1.0909185301596074,65.99,118.7,102.9,184.812735,67.525215,61.390425,0,0,0,0,0,0.77613,0,0,0,1249609
429.mcf-192B,latetpl2d3,0.1547,0.98786717752235,0.0828245116198237,0.3935242893439597,0,0.9991744567196795,0.008262940323561688 ,0.0898787400871881,1.0833348495680835,65.8,118.8,102.8,184.82831,67.235035,61.18529,0,0,0,0,0,0.838709,0,0,0,1151225
429.mcf-192B,latetpl2d4,0.1549,0.9891443167305237,0.08410870668979145,0.3834036634784477,0,0.9990646173715273,0.0057647927989570155 ,0.09002456399889058,1.079338539962166,65.7,118.7,102.8,184.826325,67.140895,61.089675,0,0,0,0,0,0.87394,0,0,0,1098628
429.mcf-192B,latetpl2d5,0.1549,0.9891443167305237,0.08424191430460169,0.3755854135196549,0,0.9990154476267366,0.00445207241636769 ,0.09084509508372121,1.0778903942606592,65.69,118.7,102.8,184.830415,67.13113,61.02575,0,0,0,0,0,0.89654,0,0,0,1081714
