Trace,Prefetcher,IPC,IPCI,L2C_Coverage,L2C_Accuracy,L2C_Overprediction,L2C_Timeliness,L2C_UsefulPF,LLC_DemandHit,DRAM_Traffic,L1D_average_miss_latency,L2C_average_miss_latency,LLC_average_miss_latency,L1-MPKI,L2-MPKI,MPKI,PCM_useful_prefetches,PCM_late_prefetches,PCM_coverage,PCM_accuracy,PCM_laterate,MT_hitrate,CT_hitrate,CT_accuracy,CT_accuratepf
MIS-21250M,latetpl2d2,0.8419,1.0016656751933373,0.00852611512039997,0.5697411003236246,0,0.9917637034933258,0.00037392076156480056 ,0.0,0.9957482905868796,36.61,115.6,90.63,58.104425,7.083605,7.08338,0,0,0,0,0,0.778935,0,0,0,6180
MIS-21250M,latetpl2d3,0.8419,1.0016656751933373,0.008687777485401399,0.5652388797364085,0,0.9941707956863888,0.00024402356877064918 ,0.0,0.9955168770954731,36.63,115.6,90.63,58.10663,7.08245,7.08227,0,0,0,0,0,0.840898,0,0,0,6070
MIS-21250M,latetpl2d4,0.842,1.0017846519928613,0.00873116738423295,0.565886287625418,0,0.9937943262411347,0.00018485562462402245 ,0.0,0.9954217100087704,36.63,115.6,90.6,58.108725,7.08214,7.081985,0,0,0,0,0,0.875727,0,0,0,5980
MIS-21250M,latetpl2d5,0.8419,1.0016656751933373,0.008675880255076618,0.5669998305946129,0,0.9931281744846131,0.0001550790849680826 ,0.0,0.9954128094898702,36.64,115.6,90.6,58.11031,7.082535,7.082365,0,0,0,0,0,0.898045,0,0,0,5903
MIS-21250M,latetpl3d1,0.8418,1.0015466983938133,0.00778708716610773,0.5916248485897214,0,0.9926879204445744,0.0007266483398847297 ,2.1160557848733046e-06,0.9962035863613926,36.63,115.7,90.67,58.100205,7.088885,7.088645,0,0,0,0,0,0.637917,0,0,0,5779
MIS-21250M,latetpl3d2,0.8419,1.0016656751933373,0.008451932390139576,0.5611092660245766,0,0.9943770346256289,0.00035976788546960686 ,2.117464209561198e-06,0.9957202197195789,36.62,115.6,90.65,58.103335,7.084135,7.08393,0,0,0,0,0,0.778936,0,0,0,6022
MIS-21250M,latetpl3d3,0.8419,1.0016656751933373,0.00858700094617973,0.557040253883414,0,0.9940029985007496,0.00023711951080850098 ,2.1177437275960363e-06,0.9955559024475742,36.63,115.6,90.64,58.10698,7.08317,7.082995,0,0,0,0,0,0.840896,0,0,0,5987
MIS-21250M,latetpl3d4,0.8419,1.0016656751933373,0.008604496873127936,0.5556874046448551,0,0.9942037827943868,0.00017910624281156903 ,7.059265356372893e-07,0.995479221053972,36.64,115.6,90.62,58.10905,7.083045,7.082885,0,0,0,0,0,0.875725,0,0,0,5899
MIS-21250M,latetpl3d5,0.8418,1.0015466983938133,0.008596798665270725,0.5598771750255885,0,0.9948202315661182,0.00015230182873213883 ,7.059195590544066e-07,0.995476482432772,36.65,115.6,90.63,58.10986,7.0831,7.082955,0,0,0,0,0,0.898043,0,0,0,5862
PageRank-51000M,latetpl2d1,0.8151,0.9890789952675646,0.019352045644117005,0.2703081394974123,0,0.9836982179388749,0.025389127854396076 ,0.014149495882003479,1.3500976044295363,38.58,135.6,105.7,98.319875,18.540395,18.25518,0,0,0,0,0,0.871793,0,0,0,1551570
PageRank-51000M,latetpl2d2,0.8084,0.9809489139667515,0.01165962402948863,0.22515756647524746,0,0.9875336371069593,0.016024322753437646 ,0.01609876607397114,1.5347193242363923,39.08,136.6,106.8,98.312105,18.68583,18.365775,0,0,0,0,0,0.931351,0,0,0,2313944
PageRank-51000M,latetpl2d3,0.8053,0.9771872345589127,0.0023209231646432638,0.20673361699750692,0,0.9887192862302864,0.012375638668261753 ,0.016975333679829608,1.6039142617719586,39.44,136.8,107.2,98.29797,18.86239,18.52625,0,0,0,0,0,0.953021,0,0,0,2577931
PageRank-51000M,latetpl2d4,0.8048,0.9765805120737774,-0.0001383139032712428,0.2003139300064378,0,0.9888691693352367,0.010615833706188406 ,0.016701753759470864,1.6091534466489146,39.52,136.8,107.1,98.28022,18.908885,18.57824,0,0,0,0,0,0.964304,0,0,0,2587838
PageRank-51000M,latetpl2d5,0.8045,0.9762164785826962,-0.005513514828678528,0.19924334273068553,0,0.9890703019735277,0.009652670438918197 ,0.017017951388060556,1.6004708543328923,39.65,136.6,107,98.285825,19.01051,18.673545,0,0,0,0,0,0.971183,0,0,0,2532983
PageRank-51000M,latetpl3d1,0.8149,0.9888363062735104,0.016172677106589508,0.26827069105620216,0,0.9883482578925336,0.02528305677063376 ,0.01468533592085102,1.352290762755206,38.67,135.6,105.7,98.323,18.600505,18.31469,0,0,0,0,0,0.871674,0,0,0,1549353
PageRank-51000M,latetpl3d2,0.808,0.9804635359786433,0.00730339723276987,0.22278127516604176,0,0.9908949390631407,0.015876773834723974 ,0.016696206570367987,1.537144428143691,39.2,136.5,106.8,98.31918,18.76819,18.445205,0,0,0,0,0,0.931191,0,0,0,2309660
PageRank-51000M,latetpl3d3,0.8054,0.9773085790559397,0.0020286920688216132,0.20559982759615578,0,0.9917558761815846,0.012200017732276677 ,0.017136020974896648,1.5970737879882924,39.44,136.7,107.1,98.30384,18.867915,18.53702,0,0,0,0,0,0.952943,0,0,0,2547507
PageRank-51000M,latetpl3d4,0.805,0.9768232010678316,0.00010208253663996124,0.20013098982627336,0,0.991838137798949,0.010458390995642676 ,0.016343010476753655,1.5991785860923893,39.52,136.8,107.1,98.288835,18.90434,18.587945,0,0,0,0,0,0.964235,0,0,0,2543709
PageRank-51000M,latetpl3d5,0.8053,0.9771872345589127,-0.0029053853562865653,0.1990256796670065,0,0.9920453993294569,0.009479445811121076 ,0.01709423572095263,1.5864849679574142,39.56,136.5,106.9,98.283755,18.9612,18.631345,0,0,0,0,0,0.971123,0,0,0,2481730
PageRankDelta-17000M,latetpl2d1,0.9843,1.0972020956415114,0.06088209429750389,0.9653350706516405,0,0.5388883360948998,0.1595191764042217 ,0.01730609605275001,1.006527208332251,117.5,149.9,85.03,34.537535,17.353725,15.87888,0,0,0,0,0,0.587972,0,0,0,478899
PageRankDelta-17000M,latetpl2d2,1.004,1.119161743395385,0.08796049516336332,0.9819658713400417,0,0.7059077951095826,0.1280457668636828 ,0.017597558862929605,1.007943796936277,118.2,156.1,87.6,34.093295,16.85335,15.71109,0,0,0,0,0,0.741525,0,0,0,581564
PageRankDelta-17000M,latetpl2d3,1.012,1.1280793668487348,0.10499627951024826,0.9863962874779838,0,0.8005011923803736,0.10826030344725687 ,0.017485565346474836,1.0070949983708297,119.4,161,90.16,33.983195,16.53855,15.654545,0,0,0,0,0,0.811062,0,0,0,593882
PageRankDelta-17000M,latetpl2d4,1.014,1.1303087727120722,0.11461002502874924,0.9848976626700345,0,0.8614500226692923,0.09374650206488633 ,0.01649564071519368,1.00844961228464,120.7,164.8,92.27,33.864875,16.3609,15.67303,0,0,0,0,0,0.851341,0,0,0,600172
PageRankDelta-17000M,latetpl2d5,1.017,1.1336528815070783,0.12467131164175066,0.9825900183655185,0,0.9128402793695309,0.08432507988463979 ,0.01694770282424275,1.007406060377611,121.5,167.9,93.83,33.703885,16.17498,15.63885,0,0,0,0,0,0.877336,0,0,0,603849
PageRankDelta-17000M,latetpl3d1,0.9928,1.1066770705606956,0.0717838057227897,0.9635672522490478,0,0.6158771649772528,0.19720409291151939 ,0.017690200479432868,1.0064108996670516,117.3,151.6,85.77,34.272075,17.152275,15.831835,0,0,0,0,0,0.588184,0,0,0,520109
