Trace,Prefetcher,IPC,IPCI,L2C_Coverage,L2C_Accuracy,L2C_Overprediction,L2C_Timeliness,L2C_UsefulPF,LLC_DemandHit,DRAM_Traffic,L1D_average_miss_latency,L2C_average_miss_latency,LLC_average_miss_latency,L1-MPKI,L2-MPKI,MPKI,PCM_useful_prefetches,PCM_late_prefetches,PCM_accuracy,PCM_laterate,MT_lookups,MT_hitrate,MT_accuracy,MT_accuratepf,MT_acc_find_rate,CT_hitrate,CT_accuracy,CT_useful_prefetches,Unmod_PC,Insert_PC,Init_L3Hit_rate,Init_UPF_rate,Init_NormUPF_rate,L2C_PF_Issue,L2C_PF_Fill
charlie-4,baseline.4way,1.009,1.0,0.0,0.7992835660785779,0,0.9241222288795686,0.1193265426434795 ,0.06639703672130835,1.0,75.3,122.5,76.4,8.119545,5.284775,5.02485,0,0,0,0,3486559,0.2407,0.653186,548164,0.15722206335817063,0,0,0,0,0,0,0,0,646277,104406
charlie-4,baseline.5way,1.009,1.0,0.003972732992416896,0.8002588713573427,0,0.9264414424675946,0.12429722158971954 ,0.06362569616869095,1.0018786089636484,75.15,122.8,76.39,8.122135,5.26378,5.013835,0,0,0,0,3486698,0.24301,0.651912,552368,0.15842152087734584,0,0,0,0,0,0,0,0,654367,109707
charlie-4,baseline.6way,1.009,1.0,0.006622798510816449,0.8002801592297394,0,0.9276582544922783,0.1266464905872691 ,0.06028435531063059,1.0041208196621967,75.14,123.1,76.41,8.12203,5.249775,5.010965,0,0,0,0,3486818,0.245022,0.650592,555831,0.159409237878203,0,0,0,0,0,0,0,0,661179,112793
charlie-4,baseline.7way,1.008,0.9990089197224976,0.007307785099649465,0.8009381618329162,0,0.9289007867132867,0.12791700208397597 ,0.05609406126350134,1.0072725156526698,75.24,123.5,76.47,8.121845,5.246155,5.02111,0,0,0,0,3486754,0.245971,0.649361,556917,0.1597236283374164,0,0,0,0,0,0,0,0,664595,114266
charlie-4,baseline.8way,1.007,0.998017839444995,0.008445014215363946,0.8008667784156541,0,0.9279370140221882,0.12897012009839387 ,0.052636334155616395,1.009042909814265,75.31,123.9,76.53,8.11974,5.240145,5.026975,0,0,0,0,3486705,0.245652,0.650959,557556,0.15990914057828237,0,0,0,0,0,0,0,0,663456,115139
merced-0,no,0.7516,1.0171877114629855,-0.04211102509590054,0,0,0,0.0 ,0.3407063500073756,0.9147329700612242,59.6,97.91,81.11,15.68124,7.21541,5.22247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
merced-0,baseline.1way,0.7522,1.0179997293273786,-0.010169212460137727,0.6400388490955445,0,0.94353186646434,0.04434446097628597 ,0.3121894619439098,0.942907091287704,58.86,100.1,81.24,15.664385,6.99425,5.22551,0,0,0,0,4496151,0.322573,0.650773,943841,0.20992199772649983,0,0,0,0,0,0,0,0,1121741,82370
merced-0,baseline.2way,0.7492,1.0139396400054135,-0.0032626403845265055,0.6171715294554916,0,0.9359102362953454,0.05108223760182064 ,0.2927446885781732,0.9616155217776226,59.01,101.8,81.58,15.66421,6.94643,5.297665,0,0,0,0,4496051,0.331468,0.64415,959975,0.2135151491831387,0,0,0,0,0,0,0,0,1156077,102239
merced-0,baseline.3way,0.7443,1.007308160779537,-0.0009972789665850163,0.6088736955090334,0,0.9313670301019199,0.05353776195788237 ,0.27093306121705224,0.9799264311632605,59.3,103.5,81.89,15.66014,6.930745,5.404365,0,0,0,0,4496097,0.335505,0.6404,966021,0.21485768656681561,0,0,0,0,0,0,0,0,1174330,110867
merced-0,baseline.4way,0.7389,1.0,0.0,0.6020045097181855,0,0.9313689187649539,0.055139833105821906 ,0.24587044142896503,1.0,59.64,105.4,82.27,15.658105,6.92384,5.53512,0,0,0,0,4496085,0.338121,0.637963,969844,0.21570855533202776,0,0,0,0,0,0,0,0,1186021,116637
merced-0,baseline.5way,0.7338,0.9930978481526593,0.0010182211027406757,0.5948433865651892,0,0.9277226628347196,0.05596625837184974 ,0.22164933382307525,1.0199024901180842,59.99,107.3,82.61,15.656425,6.91679,5.66059,0,0,0,0,4495901,0.341133,0.634856,973679,0.2165703826663443,0,0,0,0,0,0,0,0,1199705,121669
merced-0,baseline.6way,0.7282,0.9855190147516578,0.0016298759070111383,0.588031722006748,0,0.9288136956550883,0.05736040945346044 ,0.195701487840975,1.041555669164682,60.4,109.4,83.01,15.659475,6.912555,5.79864,0,0,0,0,4496038,0.343246,0.632639,976318,0.21715074472235332,0,0,0,0,0,0,0,0,1207854,126852
merced-0,baseline.7way,0.7229,0.9783461902828529,0.0025628841798770625,0.5841827147995613,0,0.9274001916739967,0.058103153021995646 ,0.1702284781833891,1.0621614274848186,60.78,111.4,83.34,15.65931,6.906095,5.932505,0,0,0,0,4496157,0.345032,0.631185,979170,0.21777931686994026,0,0,0,0,0,0,0,0,1215786,130389
merced-0,baseline.8way,0.7179,0.9715793747462443,0.0036980923880390072,0.5816515550355854,0,0.9271126124964543,0.058859113032744347 ,0.1451401434418521,1.082165667044902,61.16,113.4,83.7,15.661035,6.898235,6.06169,0,0,0,0,4496199,0.346321,0.629815,980703,0.2181182372043586,0,0,0,0,0,0,0,0,1221646,133341
merced-1,no,0.5749,0.9845864017811269,-0.06813934292726154,0,0,0,0.0 ,0.2406384705175105,0.9460498959297615,69.12,107.1,83.26,19.208375,11.60778,9.33737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
merced-1,baseline.1way,0.5793,0.9921219386881316,-0.04041808031257103,0.6445746488952501,0,0.932636662642075,0.05525076726899921 ,0.22957142122640772,0.9649215110467004,67.96,108.1,83.2,19.194805,11.306525,9.18772,0,0,0,0,6199622,0.238096,0.664577,980986,0.1582331955077261,0,0,0,0,0,0,0,0,1216327,111790
merced-1,baseline.2way,0.579,0.9916081520808357,-0.03461810626200276,0.5958814157050192,0,0.9322809451355948,0.06414270869414618 ,0.2225296977002236,0.9773079496718408,67.88,108.9,83.36,19.19264,11.243495,9.198715,0,0,0,0,6199323,0.252776,0.644897,1010578,0.16301425171748593,0,0,0,0,0,0,0,0,1299150,150003
merced-1,baseline.3way,0.5808,0.9946908717246103,-0.018502773000444454,0.6326738566773272,0,0.9475841173656514,0.08644577699803027 ,0.21656461674093877,0.9885785658069459,67.19,109.7,83.36,19.172205,11.068365,9.11334,0,0,0,0,6199287,0.265378,0.639488,1052057,0.16970612910807323,0,0,0,0,0,0,0,0,1374804,198238
merced-1,baseline.4way,0.5839,1.0,0.0,0.6803379282496298,0,0.9507599562414171,0.11285250435309939 ,0.2121620220472144,1.0,66.28,110.3,83.31,19.15035,10.86729,8.988205,0,0,0,0,6199457,0.277187,0.64094,1101398,0.17766039832198208,0,0,0,0,0,0,0,0,1447819,252598
